artist,title,regDate,wave
"으뜨거따시 (하하, 자이언티)",스폰서 ($ponsor),2015-11-17 18:38,10
"인크레더블, 타블로, 지누션",오빠차,2015-11-17 18:38,10
인피니트,태풍 (The Eye),2017-10-13 16:38,10
임영웅,사랑은 늘 도망가,2023-03-02 2:15,10
장범준,어려운 여자,2016-07-06 0:02,10
정용화,여자여자해 (That Girl) (Feat. 로꼬),2017-08-27 16:57,10
"정인, 개리",사람냄새,2018-09-22 3:22,10
정준하 X 지코,지칠 때면 (Feat. 김종완),2017-02-01 14:02,10
"지민 (AOA), 슬옹",시작이 좋아 2015 (Prod. by 버벌진트),2015-11-17 18:38,10
지코,No you can't,2020-07-01 22:51,10
지코,Tough Cookie (Feat. Don Mills),2017-08-27 16:51,10
지코,극,2020-07-01 22:49,10
지코,만화영화 (Cartoon),2020-07-07 3:12,10
청하,Roller Coaster,2018-06-05 19:54,10
청하,Snapping,2020-02-06 2:07,10
"첸, 헤이즈, 바이브",썸타 (Lil' Something),2016-08-02 21:32,10
케이윌,니가 하면 로맨스 (Feat. 다비치),2016-01-26 10:48,10
태일,좋아한다 안 한다 (Duet. 세정) (Prod. 박경),2017-06-13 18:57,10
트러블메이커,내일은 없어,2016-07-06 0:02,10
프니엘,THAT GIRL,2018-09-22 15:27,10
하이라이트,CALLING YOU,2017-06-06 1:30,10
황광희 X 개코,당신의 밤 (Feat. 오혁),2017-02-01 14:02,10
Adele,Right As Rain,2015-11-17 18:38,10
aespa,Savage,2022-11-07 3:12,10
AKMU,초록창가,2018-09-22 16:00,10
AOA,사뿐사뿐,2015-12-19 20:10,10
BE'O,리무진 (Feat. MINO) (Prod. GRAY),2021-11-28 23:23,10
BewhY,F5 (Ice Cream Freestyle),2018-12-12 12:53,10
"BewhY, 사이먼 도미닉",쌈박자 (XamBaqJa) (Prod. by BewhY),2016-07-16 1:18,10
"BewhY, Talib Kweli",International Wave,2016-09-03 11:35,10
C JAMM,아름다워 (Beautiful) (Feat. 지코),2016-07-09 1:32,10
Coogie,빌어먹을 인연 (Feat. Sik-K),2018-11-01 22:16,10
DaBaby,Suge,2019-10-08 22:26,10
"Ill Chris, 박재범",Not the Same,2019-04-08 22:28,10
"Jason Derulo, David Guetta",Goodbye (feat. Nicki Minaj & Willy William),2018-10-24 23:58,10
K_DA,"THE BADDEST (ft. (여자)아이들, Bea Miller, Wolftyla)",2020-09-11 1:50,10
Kid Milli,Oppa 범고래 (Feat. SUPERBEE),2018-10-12 2:19,10
Major Lazer,"Know No Better (feat. Travis Scott, Camila Cabelo & Quavo)",2017-12-13 13:18,10
PL,MALIBU,2019-06-25 22:43,10
Zion.T,마담,2020-01-28 0:50,10
AOA,흔들려,2015-12-19 20:10,11
페노메코,PNM (Plus And Minus),2023-02-02 01:34,11
박재범,Finish Line (feat. SUPERBEE & Jvcki Wai),2018-11-28 00:45,12
Alesso,REMEDY,2018-09-29 01:44,12
박재범,Finish Line (feat. SUPERBEE & Jvcki Wai),2018-11-28 00:45,12
E SENS,No Boss (Feat. Dok2),2023-08-13 12:12,12
Red Velvet,러시안 룰렛 (Russian Roulette),2016-09-09 16:33,12
ITZY,ICY,2019-08-15 23:17,12
NO_EL,"앵무새 (Feat. 기리보이, 한요한)",2019-02-23 04:06,13
G-DRAGON,개소리 (BULLSHIT),2017-06-13 18:57,13
싸이,나팔바지,2015-12-30 09:21,13
"Coogie, SUPERBEE, D.Ark",사임사임 (Feat. 창모),2018-10-25 00:18,13
윤미래,사랑이 맞을거야,2016-01-04 12:24,14
